issue_type,severity,Reduced Composition,IDs,details
same_formula_multiple_records,resolved,Li2.9Zr0.1In0.9Cl6,v19|ensm_2025_104655_x01,2 records; log10 span=0.472; kept v19
same_formula_multiple_records,resolved,Li2HBrO,hx7|trv1_0020,2 records; log10 span=0.031; kept trv1_0020
same_formula_multiple_records,resolved,Li2ZrCl6,qtx|nek|v50|v63|smll_74786_x00,5 records; log10 span=0.829; kept v50
same_formula_multiple_records,resolved,Li3.25Ge0.25P0.75S4,3jh|liverpool_44_0033,2 records; log10 span=0.035; kept 3jh
same_formula_multiple_records,resolved,Li3Br0.5Cl0.5O1,trv1_0002|liverpool_669_0556,2 records; log10 span=0.316; kept trv1_0002
same_formula_multiple_records,resolved,Li3ErCl6,er0|v60|v61|caltech_icsd_50151,4 records; log10 span=0.678; kept v60
same_formula_multiple_records,resolved,Li3In1Cl4.8F1.2,v47|trv1_0101,2 records; log10 span=0.447; kept v47
same_formula_multiple_records,resolved,Li3In1Cl5.2F0.8,trv1_0099|aenm_202503135_x0_y08,2 records; log10 span=0.066; kept trv1_0099
same_formula_multiple_records,resolved,Li3In1Cl5.4F0.6,trv1_0098|aenm_202503135_x0_y06,2 records; log10 span=0.088; kept trv1_0098
same_formula_multiple_records,resolved,Li3In1Cl5.6F0.4,trv1_0097|v28|aenm_202503135_x0_y04,3 records; log10 span=0.373; kept v28
same_formula_multiple_records,resolved,Li3InCl5F,trv1_0100|aenm_202503135_x0_y10,2 records; log10 span=0.085; kept trv1_0100
same_formula_multiple_records,resolved,Li3InCl6,de5|v23|v22|v24|v31|v54|v56|trv1_0089|trv1_0119|v52|aenm_202503135_x0_y0|s10008_2026_06605_x00|acsnano_4c02678_in|caltech_icsd_122395,14 records; log10 span=0.638; kept de5
same_formula_multiple_records,resolved,Li3N,fft|gvd,2 records; log10 span=0.442; kept gvd
same_formula_multiple_records,resolved,Li3ScCl6,v05|v33|v55,3 records; log10 span=0.647; kept v05
same_formula_multiple_records,resolved,Li3Y(BrCl)3,v17|trv1_0075|a71299_lycb,3 records; log10 span=0.354; kept trv1_0075
same_formula_multiple_records,resolved,Li3YBr6,elz|v43|trv1_0076|caltech_icsd_29957,4 records; log10 span=0.574; kept caltech_icsd_29957
same_formula_multiple_records,resolved,Li3YCl6,yz0|v65|v78|a71299_lyc|caltech_icsd_29965,5 records; log10 span=0.861; kept v65
same_formula_multiple_records,resolved,Li5.5P1S4.5Cl1.5,trv1_0072|caltech_icsd_22269,2 records; log10 span=0.081; kept caltech_icsd_22269
same_formula_multiple_records,resolved,Li5La3(BiO6)2,kbq|b7v,2 records; log10 span=0.064; kept b7v
same_formula_multiple_records,resolved,Li5La3(SbO6)2,xog|tbj,2 records; log10 span=0.370; kept xog
same_formula_multiple_records,resolved,Li5La3Nb2O12,68u|gkl|caltech_icsd_171171,3 records; log10 span=0.294; kept caltech_icsd_171171
