ID,Reduced Composition,Z,True Composition,Ionic conductivity (S cm-1),IC (Total),IC (Bulk),Space group,Space group #,a,b,c,alpha,beta,gamma,Family,DOI,Checked,Ref,Cif ID,Cif ref_1,Cif ref_2,note,close match,close match DOI,ICSD ID,Laskowski ID,Liion ID,removed_reason
1xf,Li1.5Al0.5Ge1.5P3O12,,Li1.5 Al0.5 Ge1.5 P3 O12,0.000336,,,,,,,,,,,NASICON,10.1021/acsami.8b00842,1,data/database/obelix/processed/all-v1.csv,,,,synthesis_method=unknow; measured_temperature=RT; amorphous=unknow; source_year=2018,,,,,,conflicting formula: log10 conductivity span 1.521 > 1; kept highest conductivity row liverpool_892_0750
caltech_icsd_7930,LiTi2(PO4)3,,Li1 Ti2 P3 O12,3.13e-06,,,,,,,,,,,unknown,10.1016/j.solidstatesciences.2016.08.011,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,7930,,,conflicting formula: log10 conductivity span 2.274 > 1; kept highest conductivity row liverpool_313_0250
caltech_icsd_12642,Li4SnS4,,Li4 Sn1 S4,2.7e-06,,,,,,,,,,,unknown,10.1016/j.jpowsour.2019.227338,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,12642,,,conflicting formula: log10 conductivity span 1.690 > 1; kept highest conductivity row kmv
caltech_icsd_14761,Li6PS5Br,,Li6 P1 S5 Br1,0.00115,,,,,,,,,,,unknown,10.1039/c9ta02126d,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,14761,,,conflicting formula: log10 conductivity span 2.060 > 1; kept highest conductivity row caltech_icsd_267193
caltech_icsd_14991,Li7La3Zr2O12,,Li7 La3 Zr2 O12,4.86e-06,,,,,,,,,,,unknown,10.1021/acs.chemmater.9b03526,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,14991,,,conflicting formula: log10 conductivity span 2.543 > 1; kept highest conductivity row caltech_icsd_422259
caltech_icsd_18096,Li4GeO4,,Li4 Ge1 O4,2.8e-10,,,,,,,,,,,unknown,10.1111/j.1151-2916.1976.tb10985.x,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=370,,,18096,,,conflicting formula: log10 conductivity span 6.301 > 1; kept highest conductivity row caltech_icsd_112252
caltech_icsd_18657,Li1.3Ti1.7Al0.3P3O12,,Li1.3 Ti1.7 Al0.3 P3 O12,0.00171,,,,,,,,,,,unknown,10.1021/acs.chemmater.9b04899,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,18657,,,conflicting formula: log10 conductivity span 4.076 > 1; kept highest conductivity row liverpool_26_0020
caltech_icsd_19668,Li2HClO,,Li2 H1 Cl1 O1,1.4e-07,,,,,,,,,,,unknown,10.1021/acs.inorgchem.0c01631,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,19668,,,conflicting formula: log10 conductivity span 2.455 > 1; kept highest conductivity row trv1_0014
caltech_icsd_19912,Li7La3Zr2O12,,Li7 La3 Zr2 O12,2.58e-05,,,,,,,,,,,unknown,10.1016/j.ssi.2020.115312,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=na,,,19912,,,conflicting formula: log10 conductivity span 2.543 > 1; kept highest conductivity row caltech_icsd_422259
caltech_icsd_20208,Li3PO4,,Li3 P1 O4,9.8e-18,,,,,,,,,,,unknown,10.1006/jssc.1995.1140,0,data/database/caltech/ionic_conductivity_database .csv,,,,lowest_extrapolation_temperature_K=542,,,20208,,,conflicting formula: log10 conductivity span 4.252 > 1; kept highest conductivity row liverpool_541_0446
