trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda
24,COMPLETE,0.5718194007202295,0.838371,400,4,0.10029614885609864,0.8022762527393191,0.6260832016863992,0.8756484040240742,0.0004762660509852972,0.0014041767601619389,0.3568567405033678
25,COMPLETE,0.5362054041923706,0.979227,400,3,0.0895527993119721,1.0648778648854484,0.6122434791702829,0.9145942595193253,0.046163156110791956,5.970826690614986e-05,0.33036276675115367
26,COMPLETE,0.5520575382946925,2.011179,500,5,0.09459697179107181,0.5077013932445965,0.6357111776039909,0.8935133676451343,0.0005410083746738973,0.0006328468805647176,0.07886524974943654
27,COMPLETE,0.5392551349736062,2.309836,300,4,0.12019271119459937,0.7145209147168095,0.6001792205357406,0.9618151931326973,0.009756649355196238,0.3151259553586801,0.5355205857937942
28,COMPLETE,0.542304793125955,0.997624,400,5,0.0803145490503892,2.0570153569170806,0.698331006864849,0.8535822492170452,1.6085376280065025e-07,1.0818671464919147e-05,0.003784096435927066
29,COMPLETE,0.5514858847042076,0.621587,300,3,0.05676913461068035,1.1829011715735418,0.6438583588160101,0.9512449006334511,0.0011671819793810144,0.36186460501662293,0.4868021376791442
30,COMPLETE,0.5491961941932721,0.999356,400,4,0.07320202530864367,0.6790327082144046,0.7901396471831647,0.8797939681464544,3.875236537923727e-05,0.0016088796031163886,17.364534449944205
31,COMPLETE,0.5381973306122542,0.88313,400,4,0.11437590643728482,0.7925455748110383,0.7168953862007945,0.7929308743330026,2.860516802944682e-06,0.010121155635257879,2.489338954993935
32,COMPLETE,0.60153276190885,0.668809,400,3,0.1393937373080217,0.8878142761586553,0.6868719555226122,0.8184270311343054,0.00018461543746942205,0.00023228432642261593,0.5872570667451276
33,COMPLETE,0.6000210507681897,0.601495,400,3,0.12227136837183822,1.391529853403965,0.6830048477616624,0.7169526301842242,0.0003116794627930039,0.00029769294502556454,0.4831430966905051
34,COMPLETE,0.5816356452794659,0.707212,500,3,0.12110018601474144,1.3210936035997825,0.6829792406254988,0.7241465563637238,6.153896834613175e-05,1.6857830080208936e-05,0.22969146534878446
35,COMPLETE,0.5814118899427867,0.69092,600,3,0.11674599211054075,1.8140344444882404,0.6754040700895108,0.7260234480217798,5.9678962578112995e-06,2.4952416743849325e-06,0.2152669432228933
