trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
33,COMPLETE,0.5908693827321141,11.51856,8,300,0.07987375867089179,36,12,0.9397356499590873,0.963965668328963,5.669159813116423e-08,0.001014455247338583,0.30013373453477793,0.05369512054415485,"[0.6380652307345628, 0.6280654623248102, 0.5777648436897649, 0.6188344874487374, 0.49161688946269533]"
34,PRUNED,0.5990741014117485,4.295747,8,300,0.026446989068582612,37,14,0.9356176722120605,0.9698280580358266,4.4291114657653426e-08,0.0010326828254071249,,,
35,PRUNED,0.5563747506242407,2.952792,8,200,0.08246451416221176,44,19,0.8230506937290181,0.9534222430768889,0.028084672554982044,0.002061882770237821,,,
36,PRUNED,0.5985583925934995,3.825696,8,300,0.11965374514971519,33,9,0.8794061485398671,0.7087124905867132,3.0437790247600208e-06,0.003340393959948124,,,
37,PRUNED,0.23190917496835733,0.713454,4,300,0.09482145415645965,10,24,0.9155958912007433,0.9454470128004681,6.8657275946606875,0.005022194303021567,,,
38,COMPLETE,0.5685231900960924,7.67536,8,300,0.06666791546490995,39,60,0.9540168217916166,0.9967742959013322,4.652744345378954e-08,0.0010026126095766202,0.2913396167204035,0.051970943773704974,"[0.5755017172504052, 0.6433696385895625, 0.5641596398213496, 0.5789606963569125, 0.4806242584622324]"
39,PRUNED,0.5681663204066976,3.136324,6,400,0.11162813214232756,47,42,0.6248792191099846,0.9061963366017867,1.1503842557777227e-08,0.015353264327279754,,,
40,PRUNED,0.5784397927177952,1.775052,5,200,0.02214055436086978,27,12,0.9201375349015091,0.7948769081491082,0.00038499919599516906,0.0019031293587358673,,,
41,PRUNED,0.5918729085126981,2.978526,4,600,0.05783685417039652,10,8,0.9700293533608598,0.8800068761836436,4.764882272439666e-07,0.006823804132059125,,,
42,PRUNED,0.5756423536240709,2.036171,3,500,0.043160630401779004,8,5,0.9777218096911454,0.9105426952013873,7.37284194441793e-06,0.027471675283446087,,,
43,COMPLETE,0.5690238709803105,10.680479,8,300,0.028629921705969473,33,10,0.9463594094577343,0.9711592604836196,1.0938008744187627e-06,0.012043919262170414,0.2968400439678277,0.05654231659956108,"[0.5755729126627434, 0.6582550546897696, 0.5594244234916429, 0.5716191532341504, 0.480247810823246]"
44,PRUNED,0.5923613145196656,9.671708,-1,400,0.0369783679982402,51,18,0.9043496910943705,0.8442141624200947,2.3827449856307382e-07,0.004434563224069867,,,
45,PRUNED,0.5977588437683172,3.487868,6,400,0.048803767951762625,18,13,0.8755317004834062,0.9457579703497445,4.2005115696577395e-08,0.0017944469707757702,,,
46,PRUNED,0.5738794812269408,1.947686,3,600,0.0759393564413591,8,7,0.9804338848885661,0.5409976881519715,4.8944295149879097e-05,0.22055064038029948,,,
47,PRUNED,0.5993033066511503,5.262453,-1,500,0.033347668998808054,24,16,0.9339569190387043,0.6220349299758334,1.1332229998161473e-07,0.10967814985011141,,,
48,PRUNED,0.5968498761483471,3.955742,8,300,0.052651091662370274,44,32,0.9557890611698688,0.9812211346284357,2.675233907374354e-08,0.43299350113418106,,,
49,COMPLETE,0.5764502529603696,9.218052,10,300,0.060847100104773344,55,49,0.7914488901743847,0.9244944582785951,1.2158954626417762e-06,0.0076680255314351305,0.2945446087997941,0.03327842544177756,"[0.6016593296815681, 0.6219766695189692, 0.561157798693816, 0.5717319006336224, 0.5257255662738717]"
