trial,state,mae_mean,mae_std,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_lambda,param_reg_alpha,param_max_depth
99,PRUNED,0.5870215859126992,,500,0.01690154540650407,61,16,0.509268418913707,0.7599884327882211,0.2773495322003916,1.0672295224459907e-05,8
100,PRUNED,0.5844612454597186,,1400,0.013753891235546347,23,7,0.6174284364990965,0.9393299941146127,0.8879117873430293,4.986676811150748e-05,5
101,COMPLETE,0.49255715163694846,0.05923987580682213,1800,0.019095756628480048,41,9,0.6083880573955021,0.8188377734492054,0.5034398443653406,2.284280166584678e-05,8
102,PRUNED,0.5597231631947169,,1800,0.018432582309014397,40,9,0.546820668970951,0.8625225473061033,0.5480311823940739,1.7195454285097137e-05,8
103,PRUNED,0.5776120472281066,,1100,0.01453595001984525,42,12,0.5889236178077447,0.882733642912261,2.466292732388207,0.00020516291712284853,8
104,COMPLETE,0.4893766148481732,0.06520865217902681,1700,0.012086541167484088,39,5,0.5332747001149899,0.7825360193812613,0.21551428793718966,0.16175953045812158,8
105,PRUNED,0.5776336995020712,,3000,0.011181556944699219,47,5,0.5352316211777266,0.7376014593556864,0.001800559459973217,2.9987193815129314,8
106,PRUNED,0.5831516290888337,,1700,0.00985048429666707,12,6,0.517648785637632,0.7857488794837889,0.044807371394857604,0.5613060938610911,4
107,PRUNED,0.7605784242542651,,1600,0.012497444181663457,32,60,0.5585575564706919,0.9502663143490389,0.23945810040938986,0.035251076776723726,10
108,PRUNED,0.5742609655170406,,2500,0.01572733248760975,54,7,0.7785193050128637,0.9989808744582912,1.0465482740425924,0.715831358957667,8
109,PRUNED,0.6435132789904191,,800,0.009001586694049777,39,37,0.7641022636263278,0.9083198507098397,0.3559047459644567,0.1404839345458676,-1
110,PRUNED,0.5712183955574852,,1500,0.13057845905120657,45,11,0.527110512485274,0.9642541787807283,0.749310596394432,1.6409726919355674,8
111,PRUNED,0.5795479107500461,,1800,0.017551899611558543,43,9,0.5650291018144477,0.7711241739942235,0.4506824979924988,0.26641041415317374,8
112,PRUNED,0.5728183073985352,,2000,0.013355188752604604,37,5,0.6561137887288958,0.8397443695232513,0.595569276017013,5.600419113789405e-06,8
113,PRUNED,0.5778734419586627,,1900,0.011895034184352808,39,8,0.5410491251554955,0.821903731714218,0.10834298991622092,3.0213092676328905e-05,8
114,PRUNED,0.5782308631729158,,700,0.014688820661343773,41,8,0.5762153873653978,0.804700960537542,1.5024659620957757,1.3357119195775955,8
115,PRUNED,0.5220310582299605,,1200,0.0161045422785718,34,13,0.7473507636345395,0.7195764552445464,0.004133890204403424,0.00012124197830369912,6
116,PRUNED,0.6210401520132064,,1700,0.017545403915249,36,26,0.6671741766257276,0.9878984337894289,2.007836133506332,7.521211306553106e-05,8
117,COMPLETE,0.4904584014963622,0.06386294394531157,600,0.02434938359434067,40,10,0.7952951661956782,0.7961300597028425,0.017360798173765596,1.2945154926751926e-05,7
118,PRUNED,0.5948036005132818,,600,0.023915262847927832,42,6,0.7938589682199999,0.9748686395726781,0.015154029093858946,4.8846718416357457e-05,7
119,PRUNED,0.5828878974716354,,500,0.020438649508092255,38,10,0.7595714976806477,0.9316406593903614,0.0048779853550170865,0.0006645588578818885,7
120,PRUNED,0.5869700786884903,,600,0.01093805614484037,51,14,0.5095983430380515,0.6724550963523303,3.680951630931288,2.890203133004298e-06,7
121,COMPLETE,0.48666699403966457,0.061987631592982026,1000,0.018690611470335586,40,7,0.5247882513098392,0.8078825325954376,0.1981880775118668,1.3435903866488824e-05,7
122,COMPLETE,0.48837812465732966,0.06734958547537073,1000,0.026937316868962773,44,7,0.5489248328852813,0.7863736113089888,0.05594423226308619,1.0661237980447257e-05,7
123,PRUNED,0.5850223574422698,,900,0.02897967356435534,44,5,0.5204692251412274,0.7776696240564784,0.02828754422526804,1.0016379077147204e-05,7
124,PRUNED,0.7274623325931777,,1000,0.025192486657457717,37,7,0.5495182333286592,0.7908679364660909,0.008435925616818453,18.456400603773414,7
125,PRUNED,0.5786679251111019,,1100,0.03450091029801845,39,11,0.7790772236790232,0.8091636738426763,0.052096614077486565,5.397049348975036e-06,7
126,PRUNED,0.574322460413173,,900,0.03100362861086188,40,6,0.9144527554171697,0.9580078989154899,0.1690661774215414,3.179294792405121e-05,7
127,PRUNED,0.6098894549485734,,1200,0.026807727263425524,35,7,0.5301686102100858,0.7386775263447994,0.021010658259998,1.9721609002444723e-06,7
128,PRUNED,0.5878054906009699,,1000,0.012481331542997312,42,10,0.5556959097817884,0.7522736662089323,0.06758468601242942,1.2162858003940973e-05,7
129,PRUNED,0.5202011711646697,,800,0.01455006253599276,43,12,0.839042574374734,0.766237198607745,0.0972769806681226,6.717779574062506e-06,7
130,PRUNED,0.5284532032750694,,1100,0.013445814548793077,8,8,0.8035546714610142,0.716967643070496,0.19966538256979405,0.12482969077232765,3
