trial,state,value,duration_seconds,param_n_estimators,param_max_depth,param_learning_rate,param_min_child_weight,param_subsample,param_colsample_bytree,param_gamma,param_reg_alpha,param_reg_lambda,user_cv_mean_doi_macro_f1,user_cv_std_weighted_macro_f1,user_fold_weighted_macro_f1
30,PRUNED,0.36405703805061324,4.558616,600,10,0.01433187943433289,5.478309164033704,0.9415025604559947,0.9377517825801732,0.0016885152939901953,0.000281249346269172,1.159354234959254,,,
31,COMPLETE,0.5138175017598932,23.535833,500,8,0.0360276221809046,0.9790152715279434,0.876014329768035,0.9128564591173022,3.730127377648705e-05,1.2658270597027485e-05,0.018449328817479824,0.2640913573616947,0.08151928668327389,"[0.35213938479620976, 0.5622371837594295, 0.5594451492949211, 0.5339608898942865, 0.5613049010546188]"
32,PRUNED,0.43659855481587584,12.727552,500,8,0.03539629282123248,0.6847281027561668,0.783776729816099,0.9004671799177585,3.92892359982194e-06,1.181781509294588e-05,0.01889132259957935,,,
33,COMPLETE,0.5140286494011423,19.915559,500,9,0.048149914439910235,0.5080543530723738,0.8838484345683847,0.8211702070944127,8.770268656381117e-05,1.5546441261238122e-06,0.008612257379638248,0.2655922178941086,0.076828560641973,"[0.36369425988926074, 0.57436683037032, 0.5590171974158751, 0.5473768259670676, 0.5256881333631882]"
34,COMPLETE,0.5258646571123398,13.101979,400,9,0.045518802286290114,0.6996261669869484,0.8384220211214625,0.8368011815964249,0.0002037102808097448,1.903724908944669e-06,0.006564410802865603,0.269643676909153,0.09071576020976167,"[0.34954084981144734, 0.5957157568531319, 0.5908838204759544, 0.5398536688866641, 0.5533291895345013]"
35,PRUNED,0.4883259563939541,14.383398,400,9,0.01868218548382268,0.7655234978499321,0.8417348793485387,0.7993026741910574,0.00034632257421647193,6.383487595826916e-05,0.005661781674498846,,,
36,PRUNED,0.4129187315321208,3.040696,400,7,0.08539157424163489,0.6408184344775247,0.7461663258544001,0.9561373245890709,0.09184029754425443,0.15112933070646112,0.002213373608305403,,,
37,PRUNED,0.41819885234958654,1.53766,400,10,0.05509899398579639,0.5048109092849763,0.7006370428783895,0.6961682039068637,0.9860722695718314,4.452665359810113e-07,0.005022194303021567,,,
38,PRUNED,0.4126312032449937,2.922693,300,8,0.025586523664242987,3.09457334558751,0.8049663533619009,0.8405977359900458,0.0001180235401927114,4.6090025285694155e-06,0.06691363464762735,,,
39,PRUNED,0.44372642393005957,6.153023,400,9,0.054328046747908754,0.8810694503934811,0.7863122316390088,0.6087240724555513,0.005203440219317308,0.0008741571756568675,0.010052056719041339,,,
40,PRUNED,0.4127590873956283,3.623771,300,4,0.010285689556684885,0.6399669272559841,0.8262020833940152,0.8760386653631584,0.0021140725972797823,0.00017777770724245262,0.2616787860541973,,,
41,COMPLETE,0.5234963604548808,22.117415,500,10,0.046452612749383344,0.5101760638118197,0.8896564463782426,0.815496048564332,4.689482095368767e-05,1.924127567246232e-06,0.008349675608103747,0.2692148817139685,0.0898650206108171,"[0.3564339484078367, 0.6094462540338225, 0.5944041098100089, 0.529434910895308, 0.527762579127428]"
42,PRUNED,0.5105605020298863,19.968346,600,10,0.04090099625797534,0.8300919753652111,0.9147330742599983,0.7801431889960021,2.65949637205855e-06,1.363607373038754e-07,0.0017505715743573109,,,
