trial,state,value,duration_seconds,param_max_depth,param_n_estimators,param_learning_rate,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda
35,COMPLETE,0.45766530246362497,0.313811,10,200,0.06601660084821352,39,18,0.8321412611998755,0.7212331236542733,1.9647955590831567,0.002564016122403524
36,COMPLETE,0.4888749710405727,0.398251,10,200,0.07481714149053238,35,16,0.8055224068837589,0.6402173367139078,0.7325121581703746,0.03194687599605367
37,COMPLETE,0.4616543809132489,1.064862,10,200,0.0651524023798347,35,17,0.8058669358137454,0.6411832091429095,0.011034703329948338,0.023422284435764527
38,COMPLETE,0.4901317007916581,0.59456,10,200,0.037848162500622645,33,14,0.7741426647947334,0.6944522757050308,0.4506696199696669,0.008423763587369064
39,COMPLETE,0.4759432411950281,1.095493,10,200,0.04649620645825901,33,14,0.7779864728196435,0.670505797409692,0.0021502681553468334,0.010052056719041339
40,COMPLETE,0.4815601667876124,0.454687,10,200,0.03715117287922846,41,21,0.7464534054789992,0.6965914562525944,0.9241426010730508,0.03355063949611995
41,COMPLETE,0.4902494388715503,0.610551,10,200,0.02942126355289481,29,11,0.8021707106215212,0.7787350608319896,0.5693431764934541,0.005034349613937807
42,COMPLETE,0.478816640636016,0.24929,10,200,0.12073803275681216,29,11,0.8032788075092011,0.7254246694325122,4.3032095117998415,0.002909417918969366
43,COMPLETE,0.46867990201987936,0.983537,10,200,0.07240173765890813,38,9,0.8473572784886861,0.7693544716671408,0.07187615168453053,0.001131825307731189
44,COMPLETE,0.49210988629895475,0.671017,8,300,0.025728466904182852,31,14,0.7807696831622797,0.6408863855129169,0.6237155419507846,0.01116523860575531
45,COMPLETE,0.48185266076024585,1.551801,8,300,0.026599783273766026,31,5,0.7167228473518426,0.6972892638576828,0.02958684413919414,0.00708680940271731
46,COMPLETE,0.4516869205290628,0.422524,8,300,0.02367455641530645,26,12,0.7625796035273426,0.5871021480415387,1.9027980806643197,0.012767184101835308
47,COMPLETE,0.2098436139120088,0.271514,8,300,0.02866789240491763,24,21,0.7660822645523062,0.6157266220703246,8.491934521625877,0.004905992971942541
48,COMPLETE,0.4694343373617304,0.836459,8,200,0.029204711732896082,44,27,0.7861586336154848,0.7363965823354731,0.1369423967276487,0.0032077166320600733
49,COMPLETE,0.46971672288865424,0.791499,6,200,0.021045918512658694,30,8,0.8314479776953637,0.6588110691495465,2.296052727074523e-07,0.010194689931617202
